file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0232_0065_432233_to_436633,ཨོ་འདི་བྱས་ནས་ཨེ་ནས་ང་སྣུམ་འཁོར་ནང་གཞོན་ནས་སླེབས་ཡིན་པ། སྐར་མ་ཉི་ཤུ་སེ་མ་ཤས་འགྲོ་མེད་རེད་ཡོད་བ། སྣུང་འཁོར་ཀ་ཅི་ཨེ་ནས།  ,o 'di byas nas e nas nga snum 'khor nang gzhon nas slebs yin pa/_skar ma nyi shu se ma shas 'gro med red yod ba/_snung 'khor ka ci e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0232_0065_432233_to_436633.wav,STT_NS,3,119,4.4,wav16k/STT_NS_M0232_0065_432233_to_436633.wav,ཨོ་དེ་བྱས་ནས་ས་ང་སྣུམ་འཁོར་ནང་བཞོན་ནས་སླེབས་ཡིན་པ། སྐར་མ་ཉི་ཤུ་སི་མ་ཤས་འགྲོ་མེད་རེད་ཡོད་བ། སྣུམ་འཁོར་ཀ་ཅིཡོད་ཨེ་ནས།
STT_NS_M0222_0174_1248523_to_1252295,གནས་ཚད་མཐོ་བོ་ཀ་ཅི་མི་སུ་ཡིན་པ་ཡིན་ན་ཡོད་བ་ཨེ་ནས་ད།  ,gnas tshad mtho bo ka ci mi su yin pa yin na yod ba e nas da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0222_0174_1248523_to_1252295.wav,STT_NS,3,53,3.772,wav16k/STT_NS_M0222_0174_1248523_to_1252295.wav,གནས་ཚད་མཐོ་བོ་ཀ་ཅི་མི་སུ་ཡིན་པ་ཡིན་ན་ཡོད་བ། ཨེ་ནས་ད།
STT_NS_M0230_0344_2076407_to_2080349,ཨེ་ནས་ཨོ་འདི་གི་མི་མང་ཆེ་བ་ཅིག་རཱ། ང་ཚོ་དམིགས་བསལ་གི་གཞོན་སྐྱེས་ནང་ལོགས་ལ་ཨེ་ནས།  ,e nas o 'di gi mi mang che ba cig rA/_nga tsho dmigs bsal gi gzhon skyes nang logs la e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0230_0344_2076407_to_2080349.wav,STT_NS,3,82,3.942,wav16k/STT_NS_M0230_0344_2076407_to_2080349.wav,ཨེ་ནས་ཨོ་འདི་གི་མི་མང་ཆེ་བ་ཅིག་རེད། ང་ཚོ་དམིགས་བསལ་གི་གཞོན་སྐྱེས་ནང་ལོགས་ལ་ཨེ་ནས།
STT_NS_M0328_0035_211510_to_214974,ཨེ་ནས་ད་ནམ་རྒྱུན་གཉིད་ཁུག་ཡ་ལབ་ན་ད་མི་འདུག་གེ ཉལ་སའི་ནང་མི་ཁ་ཤས་ ,e nas da nam rgyun gnyid khug ya lab na da mi 'dug ge_nyal sa'i nang mi kha shas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0328_0035_211510_to_214974.wav,STT_NS,3,65,3.464,wav16k/STT_NS_M0328_0035_211510_to_214974.wav,ཨེ་ནས་ད་ནམ་རྒྱུན་གཉིད་ཁུག་ཡ་ལབ་ན་ད་མི་འདུག་བེ། ཉལ་ས་ནང་མི་ཁ་ཤས།
STT_NS_M0224_0415_2703609_to_2709012,ད་ཨོ་དེའི་ནང་ཐེངས་མ་དང་པོ་འགྲོ་ཁག་བྱས་རེད་ད་རཱ། ཨ་མ་གོང་ཆེ་ཞིག་འདུག་ཡིད་བཞིན་རྒྱལ་བ། ད་ནང་ལོགས་འཇུ་སི།  ,da o de'i nang thengs ma dang po 'gro khag byas red da rA/_a ma gong che zhig 'dug yid bzhin rgyal ba/_da nang logs 'ju si/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0224_0415_2703609_to_2709012.wav,STT_NS,3,104,5.403,wav16k/STT_NS_M0224_0415_2703609_to_2709012.wav,ད་ཨོ་དེའི་ནང་ཐེངས་མ་དང་པོ་འགྲོ་ག་བྱས་རེད་ད་རཱ། ཨ་མ་གོང་ཆེ་བ་ཅིག་འདུག་ཡེ་ཤེས་རྒྱད་བ་ད་ནང་ལོགས་འཛུལ་སིར།
STT_NS_M0236_0106_614554_to_619093,ག་ལབ་དགོས་རེད་མི་ད་ངོ་ཤེས་ཡ་ཕར་ཞོག་རཱ། ང་མི་ཚང་མ་མཐོང་མྱོང་ཁོ་རང་མི་འདུག་ཡོད་བ།  ,ga lab dgos red mi da ngo shes ya phar zhog rA/_nga mi tshang ma mthong myong kho rang mi 'dug yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0236_0106_614554_to_619093.wav,STT_NS,3,81,4.539,wav16k/STT_NS_M0236_0106_614554_to_619093.wav,ག་རེ་ལབ་དགོས་རེད། མི་ད་ངོ་ཤེས་ཡ་ཕར་བཞག་རཱ། ང་མི་ཚང་མ་མཐོང་མྱོང་ཁོ་རང་མི་འདུག་ཡོད་བ།
STT_NS_M0226_0219_2172246_to_2175578,ཨོ་དེ་འདྲའི་འདྲ་བོ་བྱེད་དགོས། ད་དེ་འདྲ་ཆགས་དགོས་ཡ་རྒྱུ་མཚན་ཁོ་རང་ག་རེ་རེད།  ,o de 'dra'i 'dra bo byed dgos/_da de 'dra chags dgos ya rgyu mtshan kho rang ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0226_0219_2172246_to_2175578.wav,STT_NS,3,76,3.332,wav16k/STT_NS_M0226_0219_2172246_to_2175578.wav,ཨོ་དེ་འདྲའི་འདྲ་བོ་བྱེད་དགོས། ད་དེ་འདྲའི་ཆགས་དགོས་ཡ་རྒྱུ་མཚན་ཁོ་རང་ག་རེ།
STT_NS_M0226_0099_636800_to_643199,བླུག་ཡ་ཀ་ཅི་ཁོ་ཚོས་འབད་བརྩོན་དཔེ་ཤུགས་ཆེན་པོ་བྱེད་ཀི་ཡོད་རེད ཨེ་ནས་ཨོ་འདི་ཨེ་འདྲའི་བྱེད་ནས་ད་ལྟ་དུས་ཚོད་འདི་ལ་ཏོག་ཙི་ཅིག་ད།  ,blug ya ka ci kho tshos 'bad brtson dpe shugs chen po byed ki yod red_e nas o 'di e 'dra'i byed nas da lta dus tshod 'di la tog tsi cig da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0226_0099_636800_to_643199.wav,STT_NS,3,125,6.399,wav16k/STT_NS_M0226_0099_636800_to_643199.wav,ཡ་ཀ་ཅི་ཁོ་ཚོས་འབད་བརྩོན་དཔེ་ཤུགས་ཆེན་པོ་བྱེད་ཀི་ཡོད་རེད། ཨེ་ནས་ཨོ་དེ་ཨེ་འདྲའི་བྱས་ནས་ད་ལྟ་དུས་ཚོད་དེ་ལ་ཏོག་ཙི་ཅིག་ད།
STT_NS_M0230_0571_3733199_to_3738899,དེ་ཚོ་ད་ཡོད་བ་ད་མི་འདུག་རཱ། མི་ཚང་མ་སོ་སོ་སོར་ལམ་ཁ་ལོགས་ག་ལོགས་ག ལོགས་ག་ཡོད་དུས་ཙམ་པ་ལ་ཨེ་ནས།  ,de tsho da yod ba da mi 'dug rA/_mi tshang ma so so sor lam kha logs ga logs ga_logs ga yod dus tsam pa la e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0230_0571_3733199_to_3738899.wav,STT_NS,3,95,5.7,wav16k/STT_NS_M0230_0571_3733199_to_3738899.wav,དེ་ཚོ་ད་ཡོད་བ་ད་མི་འདུག་རཱ། མི་ཚང་མ་སོ་སོ་སོ་སོ་ལམ་ཁ་ལོགས་ཀ་ལོགས་ཀ་ལོགས་ཀ་ཡོད་དུས་ཙམ་པ་ལ་ཨེ་ནས།
STT_NS_M0226_0126_826556_to_834425,གཏིང་ཟབ་ལོད། གཏོང་རིང་ལོད་ཁ་ཁ་གསུམ་དེ་ཆགས་ཀི་ཡོད་རེད་ལབ་རེད། ཨེ་ནས་ཧྥྀལཱཤི་གིས་གང་གསུངས་གནང་རེད་ལབ་ན་ང་ཚོ་ཀ་ཅི་མིའི་བསམ་བློ།  ,gting zab lod/_gtong ring lod kha kha gsum de chags ki yod red lab red/_e nas h+ph-ilAshi gis gang gsungs gnang red lab na nga tsho ka ci mi'i bsam blo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0226_0126_826556_to_834425.wav,STT_NS,3,126,7.869,wav16k/STT_NS_M0226_0126_826556_to_834425.wav,གཏིང་ཟབ་ལོད། གཏིང་རིང་ལོད་ཁ་ཁ་གསུམ་དེ་ཆགས་ཀི་ཡོད་རེད་ལབ་རེད། མན་ཧྥྀརཌྀ་གིས་གང་་གསུང་གནང་རེད་ལབ་ན། ང་ཚོ་ཀ་ཅི་མིའི་བསམ་བློ།
